Created_Date,Complaint_Type,Descriptor
2013-10-31 02:01:04,Illegal Parking,Commercial Overnight Parking
2013-10-30 23:20:57,Illegal Parking,Blocked Hydrant
2013-10-30 23:20:26,Illegal Parking,Posted Parking Sign Violation
2013-10-30 23:01:49,Illegal Parking,Commercial Overnight Parking
2013-10-30 22:33:28,Illegal Parking,Commercial Overnight Parking
2013-10-30 22:31:22,Illegal Parking,Commercial Overnight Parking
2013-10-30 21:46:18,Illegal Parking,Commercial Overnight Parking
2013-10-30 21:27:13,Illegal Parking,Blocked Sidewalk
2013-10-30 21:22:34,Illegal Parking,Commercial Overnight Parking
2013-10-30 21:10:54,Illegal Parking,Commercial Overnight Parking
2013-10-30 21:09:34,Illegal Parking,Posted Parking Sign Violation
2013-10-30 20:43:31,Illegal Parking,Blocked Hydrant
2013-10-30 20:38:18,Illegal Parking,Overnight Commercial Storage
2013-10-30 20:01:25,Illegal Parking,Blocked Sidewalk
2013-10-30 19:38:55,Illegal Parking,Detached Trailer
2013-10-30 19:34:15,Illegal Parking,Posted Parking Sign Violation
2013-10-30 19:24:29,Illegal Parking,Double Parked Blocking Vehicle
2013-10-30 19:12:19,Illegal Parking,Double Parked Blocking Traffic
2013-10-30 18:12:44,Illegal Parking,Posted Parking Sign Violation
2013-10-30 16:49:04,Illegal Parking,Posted Parking Sign Violation
2013-10-30 16:06:48,Illegal Parking,Posted Parking Sign Violation
2013-10-30 15:54:29,Illegal Parking,Blocked Hydrant
2013-10-30 15:48:04,Illegal Parking,Double Parked Blocking Traffic
2013-10-30 15:47:29,Illegal Parking,Blocked Hydrant
2013-10-30 15:28:54,Illegal Parking,Blocked Sidewalk
2013-10-30 13:53:42,Illegal Parking,Posted Parking Sign Violation
2013-10-30 13:37:46,Illegal Parking,Double Parked Blocking Vehicle
2013-10-30 13:14:41,Illegal Parking,Posted Parking Sign Violation
2013-10-30 11:10:47,Illegal Parking,Posted Parking Sign Violation
2013-10-30 10:01:12,Illegal Parking,Posted Parking Sign Violation
2013-10-30 09:45:51,Illegal Parking,Blocked Sidewalk
2013-10-30 09:45:01,Illegal Parking,Double Parked Blocking Vehicle
2013-10-30 09:42:55,Illegal Parking,Blocked Sidewalk
2013-10-30 09:25:59,Illegal Parking,Posted Parking Sign Violation
2013-10-30 09:18:06,Illegal Parking,Posted Parking Sign Violation
2013-10-30 09:16:03,Illegal Parking,Posted Parking Sign Violation
2013-10-30 09:02:47,Illegal Parking,Blocked Sidewalk
2013-10-30 08:28:16,Illegal Parking,Blocked Sidewalk
2013-10-30 08:26:29,Illegal Parking,Double Parked Blocking Vehicle
2013-10-30 01:17:31,Illegal Parking,Blocked Sidewalk
2013-10-30 00:34:03,Illegal Parking,Blocked Sidewalk
2013-10-30 00:02:41,Illegal Parking,Commercial Overnight Parking
2013-10-29 23:03:20,Illegal Parking,Blocked Sidewalk
2013-10-29 23:01:37,Illegal Parking,Blocked Hydrant
2013-10-29 23:01:12,Illegal Parking,Blocked Hydrant
2013-10-29 22:23:03,Illegal Parking,Posted Parking Sign Violation
2013-10-29 22:11:15,Illegal Parking,Commercial Overnight Parking
2013-10-29 21:52:08,Illegal Parking,Blocked Hydrant
2013-10-29 21:31:09,Illegal Parking,Posted Parking Sign Violation
2013-10-29 21:20:43,Illegal Parking,Commercial Overnight Parking
2013-10-29 21:18:47,Illegal Parking,Blocked Hydrant
2013-10-29 21:10:22,Illegal Parking,Posted Parking Sign Violation
2013-10-29 21:05:47,Illegal Parking,Commercial Overnight Parking
2013-10-29 21:05:21,Illegal Parking,Commercial Overnight Parking
2013-10-29 20:58:41,Illegal Parking,Commercial Overnight Parking
2013-10-29 20:15:13,Illegal Parking,Commercial Overnight Parking
2013-10-29 20:05:44,Illegal Parking,Blocked Sidewalk
2013-10-29 18:50:47,Illegal Parking,Commercial Overnight Parking
2013-10-29 18:47:46,Illegal Parking,Commercial Overnight Parking
2013-10-29 17:58:58,Illegal Parking,Blocked Sidewalk
2013-10-29 17:54:54,Illegal Parking,Blocked Sidewalk
2013-10-29 17:35:07,Illegal Parking,Blocked Hydrant
2013-10-29 14:30:03,Illegal Parking,Double Parked Blocking Traffic
2013-10-29 14:02:48,Illegal Parking,Detached Trailer
2013-10-29 13:21:08,Illegal Parking,Posted Parking Sign Violation
2013-10-29 13:19:49,Illegal Parking,Commercial Overnight Parking
2013-10-29 13:12:19,Illegal Parking,Unauthorized Bus Layover
2013-10-29 12:00:45,Illegal Parking,Blocked Sidewalk
2013-10-29 11:19:37,Illegal Parking,Overnight Commercial Storage
2013-10-29 10:48:54,Illegal Parking,Commercial Overnight Parking
2013-10-29 10:42:38,Illegal Parking,Posted Parking Sign Violation
2013-10-29 10:21:08,Illegal Parking,Blocked Hydrant
2013-10-29 09:26:30,Illegal Parking,Posted Parking Sign Violation
2013-10-29 09:14:50,Illegal Parking,Double Parked Blocking Vehicle
2013-10-29 09:13:14,Illegal Parking,Posted Parking Sign Violation
2013-10-29 00:27:44,Illegal Parking,Commercial Overnight Parking
2013-10-29 00:09:51,Illegal Parking,Detached Trailer
2013-10-28 23:47:57,Illegal Parking,Posted Parking Sign Violation
2013-10-28 22:58:45,Illegal Parking,Blocked Sidewalk
2013-10-28 22:46:49,Illegal Parking,Commercial Overnight Parking
2013-10-28 22:45:43,Illegal Parking,Blocked Hydrant
2013-10-28 22:04:23,Illegal Parking,Commercial Overnight Parking
2013-10-28 21:51:26,Illegal Parking,Commercial Overnight Parking
2013-10-28 21:20:58,Illegal Parking,Commercial Overnight Parking
2013-10-28 20:47:16,Illegal Parking,Commercial Overnight Parking
2013-10-28 19:51:04,Illegal Parking,Double Parked Blocking Traffic
2013-10-28 18:58:58,Illegal Parking,Commercial Overnight Parking
2013-10-28 17:49:58,Illegal Parking,Commercial Overnight Parking
2013-10-28 16:51:52,Illegal Parking,Commercial Overnight Parking
2013-10-28 16:25:51,Illegal Parking,Blocked Sidewalk
2013-10-28 16:15:08,Illegal Parking,Posted Parking Sign Violation
2013-10-28 16:10:06,Illegal Parking,Posted Parking Sign Violation
2013-10-28 15:59:40,Illegal Parking,Blocked Sidewalk
2013-10-28 15:55:12,Illegal Parking,Posted Parking Sign Violation
2013-10-28 15:49:26,Illegal Parking,Blocked Hydrant
2013-10-28 15:38:12,Illegal Parking,Posted Parking Sign Violation
2013-10-28 15:32:30,Illegal Parking,Blocked Hydrant
2013-10-28 14:43:38,Illegal Parking,Double Parked Blocking Traffic
2013-10-28 14:32:53,Illegal Parking,Double Parked Blocking Traffic
2013-10-28 13:46:42,Illegal Parking,Posted Parking Sign Violation
2013-10-28 13:29:35,Illegal Parking,Blocked Hydrant
2013-10-28 13:05:06,Illegal Parking,Posted Parking Sign Violation
2013-10-28 12:26:21,Illegal Parking,Posted Parking Sign Violation
2013-10-28 12:22:50,Illegal Parking,Posted Parking Sign Violation
2013-10-28 11:21:00,Illegal Parking,Blocked Sidewalk
2013-10-28 11:15:53,Illegal Parking,Double Parked Blocking Vehicle
2013-10-28 10:26:44,Illegal Parking,Blocked Sidewalk
2013-10-28 09:57:49,Illegal Parking,Posted Parking Sign Violation
2013-10-28 07:05:13,Illegal Parking,Posted Parking Sign Violation
2013-10-28 04:50:42,Illegal Parking,Blocked Hydrant
2013-10-28 03:35:40,Illegal Parking,Blocked Hydrant
2013-10-28 03:33:37,Illegal Parking,Posted Parking Sign Violation
2013-10-27 23:33:35,Illegal Parking,Commercial Overnight Parking
2013-10-27 22:20:37,Illegal Parking,Commercial Overnight Parking
2013-10-27 22:13:37,Illegal Parking,Commercial Overnight Parking
2013-10-27 22:08:35,Illegal Parking,Blocked Sidewalk
2013-10-27 21:09:01,Illegal Parking,Commercial Overnight Parking
2013-10-27 20:35:58,Illegal Parking,Commercial Overnight Parking
2013-10-27 19:56:39,Illegal Parking,Blocked Sidewalk
2013-10-27 19:52:41,Illegal Parking,Posted Parking Sign Violation
2013-10-27 19:50:36,Illegal Parking,Blocked Hydrant
2013-10-27 19:12:14,Illegal Parking,Double Parked Blocking Vehicle
2013-10-27 19:10:18,Illegal Parking,Double Parked Blocking Vehicle
2013-10-27 16:43:09,Illegal Parking,Commercial Overnight Parking
2013-10-27 15:29:12,Illegal Parking,Detached Trailer
2013-10-27 13:42:28,Illegal Parking,Commercial Overnight Parking
2013-10-27 13:00:08,Illegal Parking,Commercial Overnight Parking
2013-10-27 12:48:14,Illegal Parking,Blocked Hydrant
2013-10-27 12:25:38,Illegal Parking,Blocked Hydrant
2013-10-27 12:18:14,Illegal Parking,Double Parked Blocking Traffic
2013-10-27 12:12:38,Illegal Parking,Posted Parking Sign Violation
2013-10-27 12:09:05,Illegal Parking,Commercial Overnight Parking
2013-10-27 12:08:46,Illegal Parking,Double Parked Blocking Vehicle
2013-10-27 12:00:38,Illegal Parking,Double Parked Blocking Traffic
2013-10-27 11:45:26,Illegal Parking,Blocked Hydrant
2013-10-27 11:05:16,Illegal Parking,Blocked Hydrant
2013-10-27 11:04:37,Illegal Parking,Double Parked Blocking Vehicle
2013-10-27 10:39:07,Illegal Parking,Blocked Hydrant
2013-10-27 10:39:02,Illegal Parking,Blocked Hydrant
2013-10-27 09:28:34,Illegal Parking,Posted Parking Sign Violation
2013-10-27 09:12:59,Illegal Parking,Posted Parking Sign Violation
2013-10-27 08:45:24,Illegal Parking,Commercial Overnight Parking
2013-10-27 07:58:08,Illegal Parking,Blocked Hydrant
2013-10-27 05:01:35,Illegal Parking,Blocked Sidewalk
2013-10-27 01:49:26,Illegal Parking,Commercial Overnight Parking
2013-10-27 00:44:30,Illegal Parking,Overnight Commercial Storage
2013-10-27 00:31:12,Illegal Parking,Blocked Sidewalk
2013-10-26 22:25:46,Illegal Parking,Commercial Overnight Parking
2013-10-26 22:17:00,Illegal Parking,Commercial Overnight Parking
2013-10-26 22:13:21,Illegal Parking,Commercial Overnight Parking
2013-10-26 22:02:45,Illegal Parking,Overnight Commercial Storage
2013-10-26 21:59:02,Illegal Parking,Commercial Overnight Parking
2013-10-26 20:32:38,Illegal Parking,Overnight Commercial Storage
2013-10-26 17:17:48,Illegal Parking,Blocked Hydrant
2013-10-26 15:30:46,Illegal Parking,Commercial Overnight Parking
2013-10-26 15:29:20,Illegal Parking,Blocked Hydrant
2013-10-26 15:00:38,Illegal Parking,Commercial Overnight Parking
2013-10-26 14:21:59,Illegal Parking,Overnight Commercial Storage
2013-10-26 14:10:09,Illegal Parking,Posted Parking Sign Violation
2013-10-26 14:03:39,Illegal Parking,Blocked Hydrant
2013-10-26 13:35:43,Illegal Parking,Overnight Commercial Storage
2013-10-26 12:06:18,Illegal Parking,Blocked Sidewalk
2013-10-26 09:39:47,Illegal Parking,Commercial Overnight Parking
2013-10-26 08:46:13,Illegal Parking,Blocked Hydrant
2013-10-26 07:33:31,Illegal Parking,Posted Parking Sign Violation
2013-10-26 06:20:17,Illegal Parking,Blocked Hydrant
2013-10-26 03:07:37,Illegal Parking,Blocked Hydrant
2013-10-26 00:20:34,Illegal Parking,Blocked Hydrant
2013-10-26 00:12:20,Illegal Parking,Blocked Hydrant
2013-10-25 23:16:19,Illegal Parking,Overnight Commercial Storage
2013-10-25 23:11:36,Illegal Parking,Posted Parking Sign Violation
2013-10-25 22:28:40,Illegal Parking,Posted Parking Sign Violation
2013-10-25 22:24:52,Illegal Parking,Blocked Hydrant
2013-10-25 22:14:10,Illegal Parking,Commercial Overnight Parking
2013-10-25 21:57:49,Illegal Parking,Posted Parking Sign Violation
2013-10-25 21:31:03,Illegal Parking,Commercial Overnight Parking
2013-10-25 21:20:35,Illegal Parking,Unauthorized Bus Layover
2013-10-25 21:13:02,Illegal Parking,Commercial Overnight Parking
2013-10-25 20:31:33,Illegal Parking,Blocked Sidewalk
2013-10-25 20:16:00,Illegal Parking,Commercial Overnight Parking
2013-10-25 20:01:34,Illegal Parking,Commercial Overnight Parking
2013-10-25 19:46:05,Illegal Parking,Blocked Sidewalk
2013-10-25 19:01:00,Illegal Parking,Posted Parking Sign Violation
2013-10-25 17:43:18,Illegal Parking,Commercial Overnight Parking
2013-10-25 17:32:42,Illegal Parking,Posted Parking Sign Violation
2013-10-25 14:41:55,Illegal Parking,Commercial Overnight Parking
2013-10-25 14:36:56,Illegal Parking,Posted Parking Sign Violation
2013-10-25 14:07:39,Illegal Parking,Posted Parking Sign Violation
2013-10-25 13:21:06,Illegal Parking,Posted Parking Sign Violation
2013-10-25 13:20:05,Illegal Parking,Posted Parking Sign Violation
2013-10-25 12:57:15,Illegal Parking,Posted Parking Sign Violation
2013-10-25 12:15:40,Illegal Parking,Blocked Sidewalk
2013-10-25 12:02:52,Illegal Parking,Posted Parking Sign Violation
2013-10-25 11:51:17,Illegal Parking,Posted Parking Sign Violation
2013-10-25 09:23:15,Illegal Parking,Posted Parking Sign Violation
2013-10-25 09:03:34,Illegal Parking,Posted Parking Sign Violation
2013-10-25 09:02:16,Illegal Parking,Posted Parking Sign Violation
2013-10-25 08:51:03,Illegal Parking,Blocked Sidewalk
2013-10-25 08:40:23,Illegal Parking,Blocked Hydrant
2013-10-25 08:18:56,Illegal Parking,Posted Parking Sign Violation
2013-10-25 00:53:17,Illegal Parking,Commercial Overnight Parking
2013-10-25 00:01:35,Illegal Parking,Posted Parking Sign Violation
2013-10-24 22:45:56,Illegal Parking,Overnight Commercial Storage
2013-10-24 22:14:22,Illegal Parking,Commercial Overnight Parking
2013-10-24 21:55:07,Illegal Parking,Posted Parking Sign Violation
2013-10-24 21:21:11,Illegal Parking,Commercial Overnight Parking
2013-10-24 21:07:26,Illegal Parking,Commercial Overnight Parking
2013-10-24 20:26:02,Illegal Parking,Posted Parking Sign Violation
2013-10-24 20:08:27,Illegal Parking,Commercial Overnight Parking
2013-10-24 19:41:33,Illegal Parking,Blocked Hydrant
2013-10-24 19:38:30,Illegal Parking,Blocked Hydrant
2013-10-24 19:36:11,Illegal Parking,Blocked Hydrant
2013-10-24 19:28:00,Illegal Parking,Blocked Hydrant
2013-10-24 19:25:32,Illegal Parking,Blocked Hydrant
2013-10-24 19:20:20,Illegal Parking,Blocked Hydrant
2013-10-24 19:16:45,Illegal Parking,Blocked Hydrant
2013-10-24 19:14:04,Illegal Parking,Blocked Hydrant
2013-10-24 19:13:08,Illegal Parking,Blocked Sidewalk
2013-10-24 19:11:44,Illegal Parking,Blocked Hydrant
2013-10-24 19:09:50,Illegal Parking,Blocked Hydrant
2013-10-24 19:07:54,Illegal Parking,Blocked Hydrant
2013-10-24 18:54:07,Illegal Parking,Blocked Hydrant
2013-10-24 18:17:01,Illegal Parking,Commercial Overnight Parking
2013-10-24 15:22:08,Illegal Parking,Blocked Sidewalk
2013-10-24 14:42:37,Illegal Parking,Commercial Overnight Parking
2013-10-24 12:43:40,Illegal Parking,Posted Parking Sign Violation
2013-10-24 12:37:45,Illegal Parking,Posted Parking Sign Violation
2013-10-24 10:58:39,Illegal Parking,Commercial Overnight Parking
2013-10-24 10:12:57,Illegal Parking,Commercial Overnight Parking
2013-10-24 09:36:14,Illegal Parking,Double Parked Blocking Traffic
2013-10-24 08:45:31,Illegal Parking,Blocked Sidewalk
2013-10-24 08:00:38,Illegal Parking,Posted Parking Sign Violation
2013-10-24 06:04:23,Illegal Parking,Blocked Sidewalk
2013-10-24 04:57:25,Illegal Parking,Posted Parking Sign Violation
2013-10-24 04:08:59,Illegal Parking,Blocked Hydrant
2013-10-23 23:26:47,Illegal Parking,Blocked Hydrant
2013-10-23 23:18:30,Illegal Parking,Blocked Sidewalk
2013-10-23 23:09:50,Illegal Parking,Posted Parking Sign Violation
2013-10-23 23:00:19,Illegal Parking,Commercial Overnight Parking
2013-10-23 22:58:48,Illegal Parking,Commercial Overnight Parking
2013-10-23 21:14:56,Illegal Parking,Blocked Hydrant
2013-10-23 21:13:37,Illegal Parking,Overnight Commercial Storage
2013-10-23 20:37:16,Illegal Parking,Blocked Sidewalk
2013-10-23 19:51:02,Illegal Parking,Posted Parking Sign Violation
2013-10-23 19:32:09,Illegal Parking,Blocked Hydrant
2013-10-23 19:29:42,Illegal Parking,Blocked Sidewalk
2013-10-23 19:27:43,Illegal Parking,Blocked Hydrant
2013-10-23 19:25:09,Illegal Parking,Blocked Hydrant
2013-10-23 19:08:22,Illegal Parking,Blocked Hydrant
2013-10-23 18:13:08,Illegal Parking,Posted Parking Sign Violation
2013-10-23 18:12:04,Illegal Parking,Posted Parking Sign Violation
2013-10-23 18:08:16,Illegal Parking,Overnight Commercial Storage
2013-10-23 18:03:48,Illegal Parking,Blocked Hydrant
2013-10-23 17:55:07,Illegal Parking,Posted Parking Sign Violation
2013-10-23 17:50:03,Illegal Parking,Blocked Hydrant
2013-10-23 17:23:43,Illegal Parking,Overnight Commercial Storage
2013-10-23 15:37:05,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 13:36:44,Illegal Parking,Posted Parking Sign Violation
2013-10-23 12:57:47,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 12:52:55,Illegal Parking,Posted Parking Sign Violation
2013-10-23 12:51:48,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 12:04:24,Illegal Parking,Commercial Overnight Parking
2013-10-23 11:59:18,Illegal Parking,Posted Parking Sign Violation
2013-10-23 11:53:14,Illegal Parking,Blocked Sidewalk
2013-10-23 11:39:55,Illegal Parking,Commercial Overnight Parking
2013-10-23 11:23:38,Illegal Parking,Overnight Commercial Storage
2013-10-23 11:14:05,Illegal Parking,Blocked Sidewalk
2013-10-23 10:41:03,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 10:34:46,Illegal Parking,Posted Parking Sign Violation
2013-10-23 10:01:40,Illegal Parking,Posted Parking Sign Violation
2013-10-23 09:59:02,Illegal Parking,Double Parked Blocking Vehicle
2013-10-23 09:16:35,Illegal Parking,Posted Parking Sign Violation
2013-10-23 08:53:03,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 08:06:57,Illegal Parking,Posted Parking Sign Violation
2013-10-23 01:39:15,Illegal Parking,Blocked Sidewalk
2013-10-23 00:32:59,Illegal Parking,Blocked Hydrant
2013-10-22 22:30:07,Illegal Parking,Posted Parking Sign Violation
2013-10-22 22:14:35,Illegal Parking,Commercial Overnight Parking
2013-10-22 21:57:32,Illegal Parking,Commercial Overnight Parking
2013-10-22 21:42:40,Illegal Parking,Blocked Sidewalk
2013-10-22 21:32:22,Illegal Parking,Commercial Overnight Parking
2013-10-22 21:21:50,Illegal Parking,Blocked Sidewalk
2013-10-22 21:19:42,Illegal Parking,Blocked Sidewalk
2013-10-22 20:19:12,Illegal Parking,Posted Parking Sign Violation
2013-10-22 19:52:47,Illegal Parking,Commercial Overnight Parking
2013-10-22 19:18:00,Illegal Parking,Posted Parking Sign Violation
2013-10-22 18:55:56,Illegal Parking,Commercial Overnight Parking
2013-10-22 18:50:37,Illegal Parking,Blocked Hydrant
2013-10-22 17:45:10,Illegal Parking,Commercial Overnight Parking
2013-10-22 17:16:51,Illegal Parking,Posted Parking Sign Violation
2013-10-22 17:14:31,Illegal Parking,Commercial Overnight Parking
2013-10-22 16:25:44,Illegal Parking,Posted Parking Sign Violation
2013-10-22 16:22:17,Illegal Parking,Blocked Sidewalk
